id	tweet_url	name	user_id	username	published_at	content	views_count	retweet_count	likes	quote_count	reply_count	bookmarks_count	medias
1708602164198244352	https://twitter.com/elonmusk/status/1708602164198244352	Elon Musk	44196397	elonmusk	Thu Apr 28 00:56:58 +0000 2022	Next I’m buying Coca-Cola to put the cocaine back in		645139	4578357	172022	186538	21793	
1708602164198244351	https://twitter.com/elonmusk/status/1708602164198244351	Elon Musk	44196397	elonmusk	Mon Apr 25 16:12:30 +0000 2022	I hope that even my worst critics remain on Twitter, because that is what free speech means		349517	3094131	70729	173544	7777	
1708602164198244350	https://twitter.com/elonmusk/status/1708602164198244350	Elon Musk	44196397	elonmusk	Thu Apr 28 01:53:50 +0000 2022	Let’s make Twitter maximum fun!		183358	2533195	34652	110132	2764	
1708602164198244349	https://twitter.com/elonmusk/status/1708602164198244349	Elon Musk	44196397	elonmusk	Mon Apr 25 19:43:22 +0000 2022	🚀💫♥️ Yesss!!! ♥️💫🚀 https://t.co/0T9HzUHuh6		329115	2497023	61362	144591	8971	https://pbs.twimg.com/media/FRNsuSFWUAUW6aP.jpg (photo)
1708602164198244348	https://twitter.com/elonmusk/status/1708602164198244348	Elon Musk	44196397	elonmusk	Thu Apr 28 01:57:27 +0000 2022	Listen, I can’t do miracles ok https://t.co/z7dvLMUXy8		201072	2464004	25526	74602	6160	https://pbs.twimg.com/media/FRZViwWX0AMsqQ1.jpg (photo)
1708602164198244347	https://twitter.com/elonmusk/status/1708602164198244347	Elon Musk	44196397	elonmusk	Fri Oct 28 03:49:11 +0000 2022	the bird is freed		328265	2360038	52490	136943	7308	
1708602164198244346	https://twitter.com/elonmusk/status/1708602164198244346	Elon Musk	44196397	elonmusk	Fri Oct 28 21:16:42 +0000 2022	Comedy is now legal on Twitter		235156	2263623	39589	87305	5808	
1708602164198244345	https://twitter.com/elonmusk/status/1708602164198244345	Elon Musk	44196397	elonmusk	Fri Nov 18 04:23:16 +0000 2022	https://t.co/rbwbsLA1ZG		217310	2020312	165205	67254	12208	https://pbs.twimg.com/media/Fh0bPd7VQAAU31D.jpg (photo)
1708602164198244344	https://twitter.com/elonmusk/status/1708602164198244344	Elon Musk	44196397	elonmusk	Mon May 09 00:51:26 +0000 2022	If I die under mysterious circumstances, it’s been nice knowin ya		164850	1810291	40235	142575	8065	
1708602164198244343	https://twitter.com/elonmusk/status/1708602164198244343	Elon Musk	44196397	elonmusk	Wed Nov 02 19:47:39 +0000 2022	https://t.co/kGncG7Hs3M		165899	1787062	63562	71407	9663	https://pbs.twimg.com/media/FglVYVmXkAIWB5w.jpg (photo)
1708602164198244342	https://twitter.com/elonmusk/status/1708602164198244342	Elon Musk	44196397	elonmusk	Fri Mar 06 20:42:39 +0000 2020	The coronavirus panic is dumb		266179	1448673	38196	39112	5275	
1708602164198244341	https://twitter.com/elonmusk/status/1708602164198244341	Elon Musk	44196397	elonmusk	Tue Apr 26 18:26:46 +0000 2022	The extreme antibody reaction from those who fear free speech says it all		182085	1580212	17854	76094	3765	
1708602164198244340	https://twitter.com/elonmusk/status/1708602164198244340	Elon Musk	44196397	elonmusk	Sat Jul 29 01:13:56 +0000 2023	https://t.co/XEydRiST9D	155319175	99231	1659116	65117	128251	7894	https://pbs.twimg.com/media/F2KqI_ZXUAAGRCD.jpg (photo)
